==============================================================================
==============================================================================
Fri. Jul. 18 2014                  LANDSAT 1                       Time: 18:14
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101407172653_00681                          Path / Row - 36 / 32
Reference Image: L11XXX1173191170101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 72.9%
Rank   2 -- 27.1%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360321668   40.75987   -105.88808     0.67     -0.41     0.79     2 
0360321670   40.76045   -105.80848     0.69     -0.21     0.72     2 
0360321671   40.76073   -105.76867     0.50     -0.36     0.61     2 
0360321672   40.76098   -105.72887     0.60     -0.37     0.71     2 
0360321673   40.76123   -105.68906     0.14      0.05     0.15     1 
0360321677   40.76207   -105.52984     0.66     -0.12     0.67     2 
0360321678   40.76225   -105.49003     0.64     -0.06     0.65     2 
0360321679   40.76241   -105.45022     0.57     -0.20     0.60     2 
0360321680   40.76255   -105.41041     0.62     -0.04     0.62     2 
0360321681   40.76269   -105.37060     0.54     -0.23     0.59     2 
0360321683   40.76292   -105.29099     0.47     -0.15     0.49     1 
0360321684   40.76301   -105.25118     0.45     -0.19     0.49     1 
0360321685   40.76309   -105.21137     0.68     -0.33     0.76     2 
0360321740   40.73295   -106.00710    -0.22      0.55     0.59     2 
0360321741   40.73329   -105.96731     0.46      0.13     0.48     1 
0360321742   40.73361   -105.92753     0.64     -0.09     0.65     2 
0360321744   40.73423   -105.84795     0.69     -0.24     0.73     2 
0360321747   40.73504   -105.72858     0.66     -0.21     0.69     2 
0360321748   40.73528   -105.68879     0.19      0.07     0.21     1 
0360321754   40.73646   -105.45005     0.64     -0.24     0.68     2 
0360321755   40.73661   -105.41025     0.64     -0.12     0.65     2 
0360321756   40.73675   -105.37046     0.55     -0.33     0.64     2 
0360321757   40.73687   -105.33067     0.56     -0.20     0.60     2 
0360321758   40.73697   -105.29087     0.39     -0.25     0.46     1 
0360321759   40.73707   -105.25108     0.27     -0.13     0.30     1 
0360321760   40.73715   -105.21129     0.38     -0.26     0.47     1 
0360321764   40.73733   -105.05211     0.52      0.20     0.56     2 
0360321817   40.70767   -105.92717     0.46     -0.38     0.59     2 
0360321818   40.70798   -105.88739     0.71     -0.31     0.77     2 
0360321819   40.70828   -105.84762     0.52     -0.25     0.58     2 
0360321820   40.70857   -105.80785     0.41     -0.25     0.48     1 
0360321823   40.70934   -105.68853     0.33     -0.14     0.36     1 
0360321824   40.70957   -105.64875     0.60     -0.07     0.61     2 
0360321826   40.70999   -105.56920     0.63     -0.23     0.67     2 
0360321827   40.71018   -105.52943     0.56     -0.16     0.59     2 
0360321828   40.71036   -105.48965     0.52     -0.11     0.53     2 
0360321829   40.71052   -105.44987     0.48     -0.12     0.49     1 
0360321830   40.71067   -105.41009     0.36     -0.30     0.47     1 
0360321831   40.71080   -105.37032     0.39     -0.38     0.54     2 
0360321832   40.71092   -105.33054     0.21     -0.02     0.21     1 
0360321833   40.71103   -105.29076     0.26     -0.05     0.27     1 
0360321834   40.71112   -105.25098     0.16     -0.18     0.24     1 
0360321835   40.71120   -105.21121     0.33     -0.18     0.38     1 
0360321836   40.71127   -105.17143     0.42     -0.40     0.58     2 
0360321839   40.71138   -105.05209     0.17     -0.22     0.28     1 
0360321890   40.68106   -106.00632     0.50      0.14     0.52     2 
0360321892   40.68173   -105.92681     0.27     -0.12     0.29     1 
0360321893   40.68204   -105.88705     0.56     -0.02     0.56     2 
0360321894   40.68234   -105.84729     0.64     -0.01     0.64     2 
0360321896   40.68290   -105.76778     0.63      0.07     0.64     2 
0360321897   40.68315   -105.72802     0.38     -0.06     0.38     1 
0360321898   40.68340   -105.68826     0.45     -0.32     0.56     2 
0360321899   40.68363   -105.64850     0.55      0.03     0.55     2 
0360321900   40.68384   -105.60874     0.55     -0.06     0.55     2 
0360321901   40.68405   -105.56898     0.54     -0.15     0.56     2 
0360321902   40.68424   -105.52922     0.40      0.03     0.40     1 
0360321903   40.68441   -105.48946     0.33     -0.13     0.35     1 
0360321904   40.68457   -105.44970     0.29     -0.11     0.31     1 
0360321905   40.68472   -105.40994     0.18     -0.12     0.22     1 
0360321906   40.68486   -105.37017     0.23     -0.15     0.27     1 
0360321907   40.68498   -105.33041     0.28      0.09     0.29     1 
0360321908   40.68508   -105.29065     0.26     -0.04     0.26     1 
0360321909   40.68518   -105.25089     0.27     -0.16     0.31     1 
0360321913   40.68541   -105.09183     0.50      0.01     0.50     1 
0360321914   40.68544   -105.05207     0.26     -0.18     0.32     1 
0360321915   40.68545   -105.01231     0.10      0.05     0.11     1 
0360321965   40.65512   -106.00593     0.55      0.08     0.56     2 
0360321967   40.65579   -105.92645     0.76      0.02     0.76     2 
0360321968   40.65610   -105.88671     0.41     -0.00     0.41     1 
0360321969   40.65640   -105.84696     0.51     -0.03     0.51     2 
0360321971   40.65695   -105.76748     0.69     -0.14     0.71     2 
0360321972   40.65721   -105.72774     0.60     -0.54     0.80     2 
0360321973   40.65745   -105.68799     0.34     -0.31     0.46     1 
0360321978   40.65847   -105.48927     0.48     -0.18     0.51     2 
0360321979   40.65863   -105.44952     0.48     -0.06     0.49     1 
0360321980   40.65878   -105.40978     0.24     -0.11     0.26     1 
0360321981   40.65891   -105.37003     0.38     -0.16     0.41     1 
0360321982   40.65903   -105.33028     0.53     -0.09     0.54     2 
0360321983   40.65914   -105.29054     0.60     -0.22     0.64     2 
0360321984   40.65923   -105.25079     0.38     -0.26     0.46     1 
0360321985   40.65931   -105.21104     0.33     -0.24     0.41     1 
0360321987   40.65943   -105.13155     0.18      0.06     0.19     1 
0360321988   40.65947   -105.09180     0.27     -0.08     0.28     1 
0360321989   40.65949   -105.05205     0.18     -0.20     0.27     1 
0360321990   40.65950   -105.01230     0.53      0.13     0.55     2 
0360322001   40.65872   -104.57508     0.19     -0.67     0.69     2 
0360322034   40.62686   -106.24387     0.27     -0.46     0.54     2 
0360322040   40.62918   -106.00554     0.37     -0.15     0.40     1 
0360322043   40.63016   -105.88636     0.06      0.03     0.07     1 
0360322044   40.63046   -105.84664     0.23     -0.13     0.27     1 
