Fri. Jul. 18, 2014             LANDSAT 1                 Time: 13:08
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L12478139            Path/Row: 036 / 032

L0R Reference Image: L11XXX1173191170101_HDF.141991757
Acquisition Date: Jul 10, 1973

Band Number:  7

GeoCover date for each WRS-1 path/row used:
Path  Row   Date
033   031   2000-06-10
033   032   2002-09-20
033   033   2000-09-14
034   031   1999-10-05
034   032   2001-09-24
034   033   2001-09-24


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0340320153   40.221179 -105.601759  3135.697       0.000     0.000   -16.982    -3.257
0340320154   40.404351 -105.068117  1510.317       0.000     0.000    14.019    31.466
0340320156   40.614694 -105.858495  2786.779       0.000     0.000    -0.367    33.537
0340320160   39.783838 -105.784316  3165.648       0.000     0.000    -4.111    14.680
0340320161   39.719946 -105.716388  3286.066       0.000     0.000    -6.820    32.997
0340320165   40.003078 -105.210413  1598.811       0.000     0.000    24.451   -28.693
0340320169   39.900198 -105.764585  2860.429       0.000     0.000    -1.829     0.364
0340320171   39.785947 -105.501251  2597.410       0.000     0.000    -4.181    14.525
0340320174   39.746876 -105.955474  3610.270       0.000     0.000    15.831     1.156
0340320176   40.215505 -105.416966  2136.051       0.000     0.000    -6.297    -6.687
0340320181   39.793556 -105.932293  3490.314       0.000     0.000    20.125    -1.433
0340320185   40.662323 -105.472262  2204.514       0.000     0.000   -24.053     3.574
0340320188   40.321066 -105.513661  2518.533       0.000     0.000   -23.021    11.308
0340320189   40.158414 -105.019257  1485.659       0.000     0.000   -17.219   -44.569
0340320190   40.167436 -105.197532  1556.960       0.000     0.000    27.644   -18.783
0340320195   40.207641 -105.492358  2456.819       0.000     0.000    -5.207   -10.027
0340320199   40.585991 -104.977548  1511.660       0.000     0.000    -6.020    -4.716
0340320207   40.748104 -105.103292  1603.047       0.000     0.000    -2.050    13.317
0340320208   40.858394 -104.640015  1640.482       0.000     0.000    -3.061     6.405
0340320213   40.998907 -104.905354  1842.023       0.000     0.000     2.820   -20.269
0340320215   40.461848 -105.841685  2974.806       0.000     0.000    10.711    38.233
0340320216   40.648691 -104.971850  1553.662       0.000     0.000    25.702    -4.986
0340320218   40.956210 -104.635207  1766.772       0.000     0.000    28.453   -15.808
0340320230   40.847264 -105.672870  2727.018       0.000     0.000   -67.236     6.235
0340320238   40.346385 -105.532928  2442.430       0.000     0.000    -8.973    14.157
0340320241   39.698431 -105.333356  2340.103       0.000     0.000    -5.682     3.584
0340320246   40.339971 -105.130924  1550.287       0.000     0.000    38.867    -0.125
0340320252   40.396245 -105.868440  3121.818       0.000     0.000   -21.166    19.427
0340320256   39.741065 -105.053454  1619.655       0.000     0.000    17.723     4.934
0340320257   39.944157 -105.208125  1726.249       0.000     0.000   -19.976   -17.255
0340320258   39.770798 -105.055579  1637.043       0.000     0.000    14.142    -2.895
0340320259   40.515038 -105.884844  3157.571       0.000     0.000     9.504    29.696
0340320260   39.838356 -105.085086  1650.686       0.000     0.000    27.101    -3.354
0340320261   40.192876 -105.177164  1546.586       0.000     0.000    18.144     6.359
0340320262   39.879749 -105.750324  2846.051       0.000     0.000   -11.261    11.960
0340320264   39.822323 -105.583542  2946.591       0.000     0.000    -6.466    -3.532
0340320275   40.616255 -105.042796  1524.877       0.000     0.000   -21.944    -3.693
0340320277   40.163808 -105.054489  1500.667       0.000     0.000     4.416   -15.090
0340320281   39.900411 -105.398906  2703.883       0.000     0.000    10.370    -1.449
0340320282   40.883197 -104.862789  1710.810       0.000     0.000     1.020    10.856
0340320288   40.402838 -105.692465  3497.808       0.000     0.000     4.546   -18.475
0340320293   40.304795 -105.881389  2919.487       0.000     0.000   -12.985    -9.819
0340320294   40.626776 -105.832401  2876.150       0.000     0.000   -29.929     8.994
0340320296   39.622809 -105.851003  3618.224       0.000     0.000   -10.549     1.308
0340320298   40.524372 -104.995278  1464.000       0.000     0.000   -15.253   -11.429
0340320300   40.123196 -104.862216  1500.050       0.000     0.000    23.485   -12.748
0340320304   39.621495 -105.156823  1761.250       0.000     0.000    12.540     5.913
0340320305   39.987816 -105.836541  2534.696       0.000     0.000    -1.489   -21.555
0340320307   40.262769 -105.863203  2625.000       0.000     0.000     9.362     6.624
0340320309   40.496053 -105.416574  2865.061       0.000     0.000    -4.823    17.705
0340320311   40.078593 -105.677206  3534.128       0.000     0.000   -25.276   -42.451
0340320315   40.312789 -105.963403  2940.134       0.000     0.000     0.472     4.105
0340320317   40.976192 -105.110065  2034.159       0.000     0.000    26.749    -5.302
0340320318   40.556822 -105.787596  2884.477       0.000     0.000   -17.070    43.665
0340320320   40.368598 -105.149354  1555.388       0.000     0.000   -14.953    32.673
0340320321   40.502812 -105.781299  3078.671       0.000     0.000    -2.407    37.570
0340320327   40.323387 -105.923299  3220.277       0.000     0.000     5.588     6.036
0340320332   40.150512 -105.278495  1705.229       0.000     0.000   -15.670     4.876
0340320333   40.449230 -105.038444  1498.000       0.000     0.000    15.697    34.951
0340320336   40.666436 -105.148597  1582.733       0.000     0.000    20.101    -0.644
0340320338   40.340494 -105.878321  2846.318       0.000     0.000    -0.440   -11.629
0340320340   40.443262 -105.080891  1528.739       0.000     0.000    -1.884    -6.712
0340320342   39.605893 -105.713813  3395.337       0.000     0.000    43.198   -28.981
0340320345   40.975280 -104.687162  1795.922       0.000     0.000    15.842   -11.476
0340320349   40.061377 -105.902867  2464.228       0.000     0.000   -11.208   -27.281
0340320352   39.827306 -105.249841  1847.040       0.000     0.000    26.376   -11.709
0340320354   40.789620 -105.186563  1854.644       0.000     0.000   -13.176    15.515
0340320356   40.176794 -104.986845  1474.932       0.000     0.000    31.365     2.113
0340320357   40.225375 -105.127882  1540.529       0.000     0.000    26.832    -2.368
0340320360   40.706502 -105.081209  1573.000       0.000     0.000    -5.095   -42.013
0340320363   41.022537 -105.209342  2219.104       0.000     0.000   -17.749    21.519
0340320369   39.685828 -105.387873  2458.439       0.000     0.000   -33.652     9.187
0340320371   40.781568 -105.148142  1682.665       0.000     0.000   -29.735     5.034
0340320373   39.723046 -105.960745  3626.267       0.000     0.000    13.291     0.613
0340320376   40.032311 -105.533992  2884.216       0.000     0.000     0.723    -6.029
0340320381   40.816090 -105.195174  1758.113       0.000     0.000   -27.181    14.050
0340320386   40.137684 -105.209419  1565.783       0.000     0.000    38.025   -33.737
0340320387   40.926928 -105.174121  1936.963       0.000     0.000     6.455    -0.062
0340320394   40.272634 -105.297344  1754.430       0.000     0.000   -17.819     5.800
0340320395   40.043299 -105.344877  2064.656       0.000     0.000     6.916   -29.203
0340320396   40.062041 -105.400551  2439.897       0.000     0.000   -21.169   -15.289
0340320408   40.997353 -105.343380  2210.080       0.000     0.000   -11.988     2.300
0340320420   40.975601 -105.154280  2075.527       0.000     0.000    -9.854     9.977
0340320421   41.047239 -105.284383  2353.271       0.000     0.000    -0.822    19.041
0340320422   41.018521 -105.471228  2338.253       0.000     0.000   -34.375    20.935
0340320423   41.016993 -105.447669  2304.699       0.000     0.000   -28.450    -5.143
0340320435   40.997710 -104.811187  1906.927       0.000     0.000   -15.378   -32.443
0340320437   40.960961 -104.600957  1750.913       0.000     0.000    19.294     0.329
0340330205   39.622541 -105.850651  3619.485       0.000     0.000   -12.607     6.118
0340330244   39.606161 -105.714165  3396.501       0.000     0.000    37.679   -16.618
0340330416   39.542028 -105.293853  2444.630       0.000     0.000   -24.911    18.574
0340330428   39.554575 -105.245019  2370.739       0.000     0.000    -4.751    19.167
0340330433   39.553798 -105.339298  2529.771       0.000     0.000   -10.706    10.129
0340330434   39.579835 -105.307986  2337.037       0.000     0.000   -25.299    10.807
